source_id,source_text_normalized,source_type,relation,target_id,target_text_normalized,target_type,edge_count
N235,memory loss,disease,characteristic_of,N2,alzheimer's disease,disease,1
N6,cognitive impairment,disease,characteristic_of,N2,alzheimer's disease,disease,1
N4,dementia,disease,characteristic_of,N2,alzheimer's disease,disease,1
N236,nmda,drug,abbreviation_for,N614,n-methyl-daspartate,drug,1
N617,loss of cholinergic transmission,other,risk_factor_of,N1,ad,disease,1
N238,tacrine-based,drug,treatment_for,N2,alzheimer's disease,disease,1
N129,cholinesterase inhibitors,drug,treatment_for,N2,alzheimer's disease,disease,1
N622,nd,disease,abbreviation_for,N14,neurodegenerative disease,disease,1
N90,alpha-synuclein,gene,hyponym_of,N625,nd-causing proteins,gene,1
N239,tdp-43,gene,hyponym_of,N625,nd-causing proteins,gene,1
N240,atxn1,gene,hyponym_of,N625,nd-causing proteins,gene,1
N12,neurodegenerative diseases,disease,risk_factor_of,N145,inflammation,disease,1
N12,neurodegenerative diseases,disease,risk_factor_of,N631,impairments in cognition,disease,1
N65,amd,disease,abbreviation_for,N632,age-related macular degeneration,disease,1
N3,abeta,gene,abbreviation_for,N633,amyloid beta-peptide,gene,1
N636,erg,gene,abbreviation_for,N635,functional deficiencies,disease,1
N638,prc,other,abbreviation_for,N637,photoreceptor cell,other,1
N640,npd1,gene,abbreviation_for,N639,neuroprotectin d1,gene,1
N641,elvs,drug,abbreviation_for,N242,elovanoids,drug,1
N146,rpe,gene,abbreviation_for,N642,retinal pigment epithelium,other,1
N92,oabeta,gene,abbreviation_for,N59,beta-amyloid,gene,1
N245,pd,disease,abbreviation_for,N82,parkinson's disease,disease,1
N247,snps,mutation,abbreviation_for,N649,single-nucleotide polymorphisms,mutation,1
N653,rs17649553,mutation,associated_with,N654,mapt,gene,1
N657,rs356182,mutation,associated_with,N658,snca,gene,1
N95,rs76904798,mutation,associated_with,N147,lrrk2,gene,1
N147,lrrk2,gene,associated_with,N661,rs823118,mutation,1
N661,rs823118,mutation,associated_with,N662,rab7l1-nucks1,gene,1
N95,rs76904798,mutation,risk_factor_of,N15,load,disease,1
N149,functional decline,disease,associated_with,N670,brain pathology,disease,1
N4,dementia,disease,associated_with,N670,brain pathology,disease,1
N672,ages,gene,abbreviation_for,N671,advanced glycation end-products,gene,1
N676,age-levels,other,associated_with,N248,mobility,other,1
N676,age-levels,other,associated_with,N678,adl,disease,1
N676,age-levels,other,associated_with,N677,timed up and go,other,1
N248,mobility,other,associated_with,N678,adl,disease,1
N677,timed up and go,other,hyponym_of,N248,mobility,other,1
N677,timed up and go,other,associated_with,N678,adl,disease,1
N679,groningen activity restriction scale,method,help_diagnose,N678,adl,disease,1
N96,age,gene,associated_with,N248,mobility,other,1
N248,mobility,other,associated_with,N96,age,gene,1
N96,age,gene,risk_factor_of,N680,impaired mobility,disease,1
N682,physical activity programs,method,treatment_for,N149,functional decline,disease,1
N687,short-term exposure to dim light at night,other,risk_factor_of,N30,neurodegeneration,disease,1
N693,fly model,method,treatment_for,N98,tauopathy,disease,1
N695,idiopathic normal pressure hydrocephalus,disease,hyponym_of,N696,neurological disorder,disease,1
N49,inph,disease,abbreviation_for,N695,idiopathic normal pressure hydrocephalus,disease,1
N702,42-mer amyloid-beta protein,gene,risk_factor_of,N703,synaptic dysfunction,disease,1
N7,abeta42,gene,abbreviation_for,N702,42-mer amyloid-beta protein,gene,1
N703,synaptic dysfunction,disease,characteristic_of,N2,alzheimer's disease,disease,1
N7,abeta42,gene,associated_with,N704,oligomers,gene,1
N251,uncaria rhynchophylla,drug,treatment_for,N1,ad,disease,1
N251,uncaria rhynchophylla,drug,hyponym_of,N706,kampo medicine,drug,1
N705,yokukansan,drug,treatment_for,N1,ad,disease,1
N82,parkinson's disease,disease,hyponym_of,N256,neurological disorders,disease,1
N714,huntington disease,disease,hyponym_of,N256,neurological disorders,disease,1
N3,abeta,gene,abbreviation_for,N715,beta amyloid,gene,1
N718,posttraumatic stress disorder,disease,associated_with,N4,dementia,disease,1
N257,ptsd,disease,abbreviation_for,N718,posttraumatic stress disorder,disease,1
N257,ptsd,disease,abbreviation_for,N31,stress-related disorders,disease,1
N719,acute stress reaction,disease,hyponym_of,N31,stress-related disorders,disease,1
N720,adjustment disorder,disease,hyponym_of,N31,stress-related disorders,disease,1
N725,aging,other,risk_factor_of,N24,neurodegenerative disorders,disease,1
N725,aging,other,risk_factor_of,N726,neuropathological aging,disease,1
N727,lf,drug,abbreviation_for,N260,lipofuscin,drug,1
N730,lf,other,risk_factor_of,N24,neurodegenerative disorders,disease,1
N733,nc,other,abbreviation_for,N732,normal cognition,other,1
N737,roc,method,abbreviation_for,N736,receiver operating characteristic,method,1
N261,olfactory function tests,method,help_diagnose,N16,cognitive decline,disease,1
N743,ga,drug,abbreviation_for,N742,glatiramer acetate,drug,1
N264,od,disease,abbreviation_for,N747,oculus dexter,disease,1
N3,abeta,gene,abbreviation_for,N753,- beta,gene,1
N3,abeta,gene,abbreviation_for,N752,amyloid - beta,gene,1
N100,tle,disease,abbreviation_for,N760,temporal lobe epilepsy,disease,1
N23,amci,disease,abbreviation_for,N6,cognitive impairment,disease,1
N23,amci,disease,hyponym_of,N6,cognitive impairment,disease,1
N762,actuarial neuropsychological method,method,help_diagnose,N8,mci,disease,1
N762,actuarial neuropsychological method,method,help_diagnose,N100,tle,disease,1
N6,cognitive impairment,disease,characteristic_of,N266,epilepsy,disease,1
N27,amyloid beta,gene,associated_with,N2,alzheimer's disease,disease,1
N772,dmpc,drug,abbreviation_for,N771,"lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine",drug,1
N774,beta-d-glucoside,drug,hyponym_of,N38,cholesterol,drug,1
N775,beta-cg,drug,abbreviation_for,N774,beta-d-glucoside,drug,1
N775,beta-cg,drug,abbreviation_for,N773,cholesterol beta-d-glucoside,drug,1
N780,adversity,other,associated_with,N781,late-life dementia,disease,1
N782,childhood trauma questionnaire,method,help_diagnose,N18,alzheimer disease,disease,1
N783,ctq,method,abbreviation_for,N782,childhood trauma questionnaire,method,1
N785,childhood stress,other,associated_with,N4,dementia,disease,1
N785,childhood stress,other,associated_with,N786,emotional health,other,1
N788,hrqol,other,abbreviation_for,N787,health-related quality of life,other,1
N268,gds,method,abbreviation_for,N791,geriatric depression scale,method,1
N269,adcs-adl,method,abbreviation_for,N792,alzheimer's disease cooperative study-activities of daily living scale,method,1
N268,gds,method,abbreviation_for,N793,depressive symptoms,disease,1
N270,interleukin17a,gene,treatment_for,N271,postoperative cognitive dysfunction,disease,1
N102,pocd,disease,abbreviation_for,N271,postoperative cognitive dysfunction,disease,1
N155,il17a,gene,abbreviation_for,N270,interleukin17a,gene,1
N25,abeta1-42,gene,abbreviation_for,N798,beta-amyloid1-42,gene,1
N800,smad3,gene,abbreviation_for,N799,decapentaplegic peptide 3,gene,1
N807,neuropsychiatric inventory-clinician,method,help_diagnose,N4,dementia,disease,1
N103,npi-c,method,abbreviation_for,N807,neuropsychiatric inventory-clinician,method,1
N808,turkish version of the npi-c scale,method,help_diagnose,N18,alzheimer disease,disease,1
N1,ad,disease,abbreviation_for,N18,alzheimer disease,disease,1
N19,mmse,method,abbreviation_for,N811,mini mental state examination,method,1
N273,iadl,other,abbreviation_for,N812,instrumental activities of daily living,other,1
N814,dad,method,abbreviation_for,N813,disability assessment of dementia,method,1
N19,mmse,method,associated_with,N66,anxiety,disease,1
N103,npi-c,method,associated_with,N815,iadl,method,1
N821,gwas,method,abbreviation_for,N820,genome-wide association studies,method,1
N247,snps,mutation,abbreviation_for,N822,single nucleotide polymorphisms,other,1
N39,l-norvaline,drug,treatment_for,N2,alzheimer's disease,disease,1
N156,arginase,gene,risk_factor_of,N30,neurodegeneration,disease,1
N39,l-norvaline,drug,hyponym_of,N834,arginase inhibitor,drug,1
N39,l-norvaline,drug,treatment_for,N16,cognitive decline,disease,1
N838,l-norvaline treatment,method,treatment_for,N16,cognitive decline,disease,1
N39,l-norvaline,drug,treatment_for,N1,ad,disease,1
N39,l-norvaline,drug,treatment_for,N24,neurodegenerative disorders,disease,1
N22,amyloid-beta,gene,characteristic_of,N2,alzheimer's disease,disease,1
N105,cpla2,gene,abbreviation_for,N847,cytoplasmic phospholipase a2,gene,1
N158,prpc,gene,abbreviation_for,N848,cellular prion proteins,gene,1
N105,cpla2,gene,risk_factor_of,N849,synapse degeneration,disease,1
N3,abeta,gene,risk_factor_of,N278,synapse damage,disease,1
N10,insulin,gene,treatment_for,N106,alzheimer's,disease,1
N34,acetylcholine,drug,hyponym_of,N854,neurotransmitters,drug,1
N855,monoamines,drug,hyponym_of,N854,neurotransmitters,drug,1
N867,cardiovascular disease,disease,hyponym_of,N866,ageing-associated chronic disorders,disease,1
N868,type ii diabetes,disease,hyponym_of,N866,ageing-associated chronic disorders,disease,1
N869,osteoporosis,disease,hyponym_of,N866,ageing-associated chronic disorders,disease,1
N2,alzheimer's disease,disease,hyponym_of,N866,ageing-associated chronic disorders,disease,1
N282,nicotinic acetylcholine receptors,gene,treatment_target_for,N63,cognitive dysfunction,disease,1
N283,nachrs,gene,abbreviation_for,N282,nicotinic acetylcholine receptors,gene,1
N50,adas-cog,method,abbreviation_for,N882,alzheimer's disease assessment scale - cognitive subscale,method,1
N108,cdr-sb,method,abbreviation_for,N884,clinical dementia rating - sum of boxes,method,1
N885,alzheimer's disease assessment scale's cognitive subscale,method,help_diagnose,N2,alzheimer's disease,disease,1
N50,adas-cog,method,abbreviation_for,N885,alzheimer's disease assessment scale's cognitive subscale,method,1
N108,cdr-sb,method,abbreviation_for,N887,clinical dementia rating-sum of boxes,method,1
N90,alpha-synuclein,gene,hyponym_of,N285,proteopathic lesions,disease,1
N5,tau,gene,hyponym_of,N285,proteopathic lesions,disease,1
N3,abeta,gene,hyponym_of,N285,proteopathic lesions,disease,1
N40,nfl,gene,abbreviation_for,N284,neurofilament light chain,gene,1
N894,rnfl,other,abbreviation_for,N893,peripapillary retinal nerve fiber layer,other,1
N289,poag,disease,abbreviation_for,N287,primary open-angle glaucoma,disease,1
N162,ppg,disease,abbreviation_for,N288,preperimetric glaucoma,disease,1
N896,sd-oct,method,abbreviation_for,N895,spectral domain optical coherence tomography,method,1
N901,ggi,other,abbreviation_for,N900,gene-gene interaction,other,1
N292,ggis,method,help_diagnose,N2,alzheimer's disease,disease,1
N910,hyperexcitability of neuronal networks,other,risk_factor_of,N290,neuronal damage,disease,1
N141,glutamate,drug,risk_factor_of,N290,neuronal damage,disease,1
N35,stroke,disease,hyponym_of,N912,neurological conditions,disease,1
N2,alzheimer's disease,disease,hyponym_of,N24,neurodegenerative disorders,disease,1
N914,cell-based assay,method,help_diagnose,N51,excitotoxicity,disease,1
N922,py18,drug,abbreviation_for,N921,tyrosine 18,drug,1
N926,py18-tau,gene,treatment_for,N51,excitotoxicity,disease,1
N166,cholinesterase,gene,treatment_for,N2,alzheimer's disease,disease,1
N299,bche,gene,abbreviation_for,N298,butyrylcholinesterase,gene,1
N941,anti-bche,gene,abbreviation_for,N940,pulegone,drug,1
N2,alzheimer's disease,disease,hyponym_of,N960,morbidity-leading disorders,disease,1
N1,ad,disease,associated_with,N206,comorbidities,disease,1
N961,diabetes mellitus,disease,hyponym_of,N206,comorbidities,disease,1
N962,obesity,disease,hyponym_of,N206,comorbidities,disease,1
N963,dyslipidemia,disease,hyponym_of,N206,comorbidities,disease,1
N967,glcnac,drug,abbreviation_for,N966,n-acetylglucosamine,drug,1
N968,n-acetylglucosaminyltransferase iii,gene,hyponym_of,N969,glycosyltransferase,gene,1
N32,gnt-iii,gene,abbreviation_for,N968,n-acetylglucosaminyltransferase iii,gene,1
N971,glp-1,gene,abbreviation_for,N970,glucagon-like peptide-1,gene,1
N972,exendin-4,gene,treatment_for,N279,memory deficits,disease,1
N68,glp-1ra,gene,abbreviation_for,N974,glp-1 receptor agonists,drug,1
N68,glp-1ra,gene,hyponym_of,N974,glp-1 receptor agonists,drug,1
N976,ser9,gene,abbreviation_for,N169,gsk-3beta,gene,1
N979,smc,disease,abbreviation_for,N301,subjective memory complaints,disease,1
N983,pss,method,abbreviation_for,N982,psychosocial stimulation intervention,method,1
N987,cmt,other,abbreviation_for,N986,charcot-marie-tooth,other,1
N989,ar,other,abbreviation_for,N988,autosomal-recessive,other,1
N992,mme,gene,abbreviation_for,N991,membrane metalloendopeptidase,gene,1
N308,neprilysin,gene,hyponym_of,N59,beta-amyloid,gene,1
N994,nep,gene,abbreviation_for,N308,neprilysin,gene,1
N3,abeta,gene,abbreviation_for,N59,beta-amyloid,gene,1
N1005,netpage,method,abbreviation_for,N1004,network propagation-based assessment of genetic events,method,1
N1008,adni,method,abbreviation_for,N1007,ad neuroimaging initiative,method,1
N1010,adsp,method,abbreviation_for,N1009,ad sequencing project,method,1
N1015,illiteracy,disease,risk_factor_of,N1016,alzheimer's disease dementia,disease,1
N172,apoe-epsilon4,gene,risk_factor_of,N1016,alzheimer's disease dementia,disease,1
N1,ad,disease,abbreviation_for,N1016,alzheimer's disease dementia,disease,1
N309,chd,disease,abbreviation_for,N1017,coronary heart disease,disease,1
N1019,cdr-sob,method,abbreviation_for,N1018,clinical dementia rating sum-of-boxes,method,1
N1021,adl,other,abbreviation_for,N1020,index of independence in activities of daily living,other,1
N273,iadl,other,abbreviation_for,N1022,lawton's scale for instrumental activities of daily living,other,1
N1025,protein-induced pluripotent stem cells,other,treatment_for,N63,cognitive dysfunction,disease,1
N1028,ipscs,other,abbreviation_for,N1027,induced pluripotent stem cells,other,1
N1030,transplanted protein-ipscs,other,treatment_for,N63,cognitive dysfunction,disease,1
N1031,protein-ipscs,method,treatment_for,N1,ad,disease,1
N18,alzheimer disease,disease,hyponym_of,N4,dementia,disease,1
N1044,lps,gene,abbreviation_for,N1043,lipopolysaccharide,gene,1
N69,curcumin,drug,treatment_for,N2,alzheimer's disease,disease,1
N1064,chelation therapy,method,treatment_for,N2,alzheimer's disease,disease,1
N1065,major surgery,disease,associated_with,N1066,perioperative neurocognitive disorders,disease,1
N1067,pnd,disease,abbreviation_for,N1066,perioperative neurocognitive disorders,disease,1
N2,alzheimer's disease,disease,risk_factor_of,N314,cognitive deterioration,disease,1
N22,amyloid-beta,gene,associated_with,N1069,postoperative impairment,disease,1
N1077,can,gene,abbreviation_for,N1076,calcineurin,drug,1
N1078,neurogranin,gene,associated_with,N13,depression,disease,1
N1078,neurogranin,gene,hyponym_of,N1079,calmodulin binding protein,gene,1
N1081,mglur,gene,abbreviation_for,N1080,regulating glutamate receptors,gene,1
N1082,nmdar,gene,abbreviation_for,N1080,regulating glutamate receptors,gene,1
N70,calmodulin,drug,associated_with,N1085,stromal interaction molecule 2,gene,1
N1086,stim2,gene,abbreviation_for,N1085,stromal interaction molecule 2,gene,1
N64,galantamine,drug,abbreviation_for,N1107,nicotinic receptor-cholinesterase inhibitor,drug,1
N173,rs-67333,drug,hyponym_of,N1108,5-ht4 receptor agonist,drug,1
N174,5-ht4r,gene,abbreviation_for,N1110,type 4 serotonin receptor,gene,1
N23,amci,disease,abbreviation_for,N318,amnestic mci,disease,1
N175,kami guibi-tang,drug,treatment_for,N1115,amnesia,disease,1
N175,kami guibi-tang,drug,treatment_for,N319,insomnia,disease,1
N175,kami guibi-tang,drug,treatment_for,N13,depression,disease,1
N175,kami guibi-tang,drug,hyponym_of,N1114,herbal drug,drug,1
N175,kami guibi-tang,drug,treatment_for,N1116,loss of appetite,disease,1
N1113,kgt,drug,abbreviation_for,N175,kami guibi-tang,drug,1
N1114,herbal drug,drug,treatment_for,N1115,amnesia,disease,1
N1114,herbal drug,drug,treatment_for,N319,insomnia,disease,1
N1114,herbal drug,drug,treatment_for,N13,depression,disease,1
N1118,snsb,method,abbreviation_for,N1117,seoul neuropsychological screening battery,method,1
N153,mri,method,abbreviation_for,N211,magnetic resonance imaging,method,1
N175,kami guibi-tang,drug,treatment_for,N320,amnestic,disease,1
N176,kgt,method,treatment_for,N8,mci,disease,1
N321,npss,disease,abbreviation_for,N200,neuropsychiatric symptoms,disease,1
N1121,citalopram,drug,treatment_for,N322,agitation,disease,1
N45,cognitive deficits,disease,associated_with,N12,neurodegenerative diseases,disease,1
N221,cognitive tests,method,help_diagnose,N106,alzheimer's,disease,1
N1124,mtor,drug,abbreviation_for,N1123,rapamycin,drug,1
N177,gpcrs,gene,abbreviation_for,N1125,g-protein-coupled receptors,gene,1
N1127,pi3k,gene,abbreviation_for,N1126,"phosphatidylinositol-4 , 5-bisphosphate 3-kinase",gene,1
N1129,map,gene,abbreviation_for,N1128,mitogen-activated protein,gene,1
N177,gpcrs,gene,treatment_target_for,N24,neurodegenerative disorders,disease,1
N177,gpcrs,gene,treatment_target_for,N2,alzheimer's disease,disease,1
N28,aak1,gene,abbreviation_for,N1132,adaptor-associated kinase 1,gene,1
N179,ap-2,gene,abbreviation_for,N1133,adaptor protein complex 2,gene,1
N28,aak1,gene,associated_with,N207,decline in cognition,disease,1
N28,aak1,gene,help_diagnose,N2,alzheimer's disease,disease,1
N80,apolipoprotein e,gene,risk_factor_of,N2,alzheimer's disease,disease,1
N148,apoe epsilon4,gene,abbreviation_for,N80,apolipoprotein e,gene,1
