example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
31,OBJECTIVE To test whether listening to self-initiated patient-directed music ( PDM ) can reduce anxiety and sedative exposure during ventilatory support in critically ill patients .,ventilatory support,ventilatory support,Health_factors,occurs_in,critically ill,critically ill,disease
32,"DESIGN , SETTING , AND PATIENTS Randomized clinical trial that enrolled 373 patients from 12 intensive care units ( ICUs ) at 5 hospitals in the Minneapolis-St Paul , Minnesota , area receiving acute mechanical ventilatory support for respiratory failure between September 2006 and March 2011 .",ICUs,icus,Health_factors,abbreviation_for,intensive care units,intensive care units,Health_factors
41,The treatment time interaction showed that PDM significantly reduced both measures of sedative exposure .,PDM,pdm,method,associated_with,sedative exposure,sedative exposure,Health_factors
42,"Compared with usual care , the PDM group had reduced sedation intensity by - 0 . 18 ( 95 % CI , - 0 . 36 to - 0 . 004 ) points / day ( P = . 05 ) and had reduced frequency by - 0 . 21 ( 95 % CI , - 0 . 37 to - 0 . 05 ) points / day ( P = . 01 ) .",PDM,pdm,method,treatment_for,sedation intensity,sedation intensity,signs
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",Cognitive bias modification ( CBM ) therapies,cognitive bias modification ( cbm ) therapies,method,hyponym_of,mechanistically derived treatments,mechanistically derived treatments,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",CBM,cbm,method,abbreviation_for,Cognitive bias modification,cognitive bias modification,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",attention bias modification,attention bias modification,method,hyponym_of,mechanistically derived treatments,mechanistically derived treatments,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",attention bias modification,attention bias modification,method,hyponym_of,Cognitive bias modification ( CBM ) therapies,cognitive bias modification ( cbm ) therapies,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",interpretation bias modification,interpretation bias modification,method,hyponym_of,mechanistically derived treatments,mechanistically derived treatments,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",interpretation bias modification,interpretation bias modification,method,hyponym_of,Cognitive bias modification ( CBM ) therapies,cognitive bias modification ( cbm ) therapies,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",avoidance training,avoidance training,method,hyponym_of,mechanistically derived treatments,mechanistically derived treatments,method
45,"BACKGROUND Cognitive bias modification ( CBM ) therapies , including attention bias modification , interpretation bias modification , or approach and avoidance training , are prototypical examples of mechanistically derived treatments , but their effectiveness is contentious .",avoidance training,avoidance training,method,hyponym_of,Cognitive bias modification ( CBM ) therapies,cognitive bias modification ( cbm ) therapies,method
48,We included randomised controlled trials of CBM versus control conditions or other forms of CBM for adults aged 18 years and older with clinical or subclinical anxiety or depression measured with a diagnostic interview or a validated clinical scale .,adults,adults,Health_factors,occurs_in,depression,depression,disease
48,We included randomised controlled trials of CBM versus control conditions or other forms of CBM for adults aged 18 years and older with clinical or subclinical anxiety or depression measured with a diagnostic interview or a validated clinical scale .,older,older,Health_factors,occurs_in,depression,depression,disease
48,We included randomised controlled trials of CBM versus control conditions or other forms of CBM for adults aged 18 years and older with clinical or subclinical anxiety or depression measured with a diagnostic interview or a validated clinical scale .,diagnostic interview,diagnostic interview,method,help_diagnose,depression,depression,disease
48,We included randomised controlled trials of CBM versus control conditions or other forms of CBM for adults aged 18 years and older with clinical or subclinical anxiety or depression measured with a diagnostic interview or a validated clinical scale .,validated clinical scale,validated clinical scale,method,help_diagnose,depression,depression,disease
51,Primary outcomes encompassed anxiety and depressive symptoms measured with validated clinical scales .,validated clinical scales,validated clinical scales,method,help_diagnose,anxiety,anxiety,disease
51,Primary outcomes encompassed anxiety and depressive symptoms measured with validated clinical scales .,validated clinical scales,validated clinical scales,method,help_diagnose,depressive symptoms,depressive symptoms,disease
52,We computed standardised mean differences ( SMDs ) with a restricted maximum likelihood random effects model .,SMDs,smds,method,abbreviation_for,standardised mean differences,standardised mean differences,method
64,"Schizophrenia is a complex , heterogeneous behavioural and cognitive syndrome that seems to originate from disruption of brain development caused by genetic or environmental factors , or both .",Schizophrenia,schizophrenia,disease,associated_with,disruption of brain development,disruption of brain development,physiology
64,"Schizophrenia is a complex , heterogeneous behavioural and cognitive syndrome that seems to originate from disruption of brain development caused by genetic or environmental factors , or both .",Schizophrenia,schizophrenia,disease,hyponym_of,"complex , heterogeneous behavioural and cognitive syndrome","complex , heterogeneous behavioural and cognitive syndrome",disease
64,"Schizophrenia is a complex , heterogeneous behavioural and cognitive syndrome that seems to originate from disruption of brain development caused by genetic or environmental factors , or both .",disruption of brain development,disruption of brain development,physiology,risk_factor_of,Schizophrenia,schizophrenia,disease
64,"Schizophrenia is a complex , heterogeneous behavioural and cognitive syndrome that seems to originate from disruption of brain development caused by genetic or environmental factors , or both .",genetic or environmental factors,genetic or environmental factors,Health_factors,risk_factor_of,Schizophrenia,schizophrenia,disease
64,"Schizophrenia is a complex , heterogeneous behavioural and cognitive syndrome that seems to originate from disruption of brain development caused by genetic or environmental factors , or both .",genetic or environmental factors,genetic or environmental factors,Health_factors,risk_factor_of,disruption of brain development,disruption of brain development,physiology
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",Dysfunction of dopaminergic neurotransmission,dysfunction of dopaminergic neurotransmission,disease,associated_with,brain,brain,region
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",Dysfunction of dopaminergic neurotransmission,dysfunction of dopaminergic neurotransmission,disease,associated_with,circuits,circuits,region
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",Dysfunction of dopaminergic neurotransmission,dysfunction of dopaminergic neurotransmission,disease,associated_with,psychotic symptoms,psychotic symptoms,disease
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",Dysfunction of dopaminergic neurotransmission,dysfunction of dopaminergic neurotransmission,disease,associated_with,brain areas,brain areas,region
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",brain,brain,region,associated_with,brain areas,brain areas,region
65,"Dysfunction of dopaminergic neurotransmission contributes to the genesis of psychotic symptoms , but evidence also points to a widespread and variable involvement of other brain areas and circuits .",brain areas,brain areas,region,associated_with,brain,brain,region
66,"Disturbances of synaptic function might underlie abnormalities of neuronal connectivity that possibly involves interneurons , but the precise nature , location , and timing of these events are uncertain .",Disturbances of synaptic function,disturbances of synaptic function,physiology,associated_with,abnormalities of neuronal connectivity,abnormalities of neuronal connectivity,disease
66,"Disturbances of synaptic function might underlie abnormalities of neuronal connectivity that possibly involves interneurons , but the precise nature , location , and timing of these events are uncertain .",synaptic function,synaptic function,physiology,associated_with,abnormalities of neuronal connectivity,abnormalities of neuronal connectivity,disease
66,"Disturbances of synaptic function might underlie abnormalities of neuronal connectivity that possibly involves interneurons , but the precise nature , location , and timing of these events are uncertain .",abnormalities of neuronal connectivity,abnormalities of neuronal connectivity,disease,associated_with,interneurons,interneurons,region
69,Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice .,Human Gut Microbiota,human gut microbiota,Health_factors,associated_with,Behavioral Symptoms,behavioral symptoms,disease
69,Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice .,Gut Microbiota,gut microbiota,Health_factors,associated_with,Behavioral Symptoms,behavioral symptoms,disease
69,Human Gut Microbiota from Autism Spectrum Disorder Promote Behavioral Symptoms in Mice .,Behavioral Symptoms,behavioral symptoms,disease,occurs_in,Mice,mice,method
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,Autism spectrum disorder,autism spectrum disorder,disease,associated_with,stereotypies,stereotypies,Health_factors
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,Autism spectrum disorder,autism spectrum disorder,disease,hyponym_of,complex human behaviors,complex human behaviors,Health_factors
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,ASD,asd,disease,abbreviation_for,Autism spectrum disorder,autism spectrum disorder,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,complex human behaviors,complex human behaviors,Health_factors,characteristic_of,ASD,asd,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,complex human behaviors,complex human behaviors,Health_factors,characteristic_of,Autism spectrum disorder,autism spectrum disorder,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,social communication,social communication,Health_factors,characteristic_of,ASD,asd,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,social communication,social communication,Health_factors,characteristic_of,Autism spectrum disorder,autism spectrum disorder,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,social communication,social communication,Health_factors,hyponym_of,complex human behaviors,complex human behaviors,Health_factors
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,stereotypies,stereotypies,Health_factors,characteristic_of,ASD,asd,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,stereotypies,stereotypies,Health_factors,characteristic_of,Autism spectrum disorder,autism spectrum disorder,disease
70,Autism spectrum disorder ( ASD ) manifests as alterations in complex human behaviors including social communication and stereotypies .,stereotypies,stereotypies,Health_factors,hyponym_of,complex human behaviors,complex human behaviors,Health_factors
71,"In addition to genetic risks , the gut microbiome differs between typically developing ( TD ) and ASD individuals , though it remains unclear whether the microbiome contributes to symptoms .",gut microbiome,gut microbiome,Health_factors,associated_with,ASD,asd,disease
72,We transplanted gut microbiota from human donors with ASD or TD controls into germ-free mice and reveal that colonization with ASD microbiota is sufficient to induce hallmark autistic behaviors .,human donors,human donors,Health_factors,occurs_in,ASD,asd,disease
72,We transplanted gut microbiota from human donors with ASD or TD controls into germ-free mice and reveal that colonization with ASD microbiota is sufficient to induce hallmark autistic behaviors .,human donors,human donors,Health_factors,occurs_in,TD,td,physiology
75,"Indeed , treatment of an ASD mouse model with candidate microbial metabolites improves behavioral abnormalities and modulates neuronal excitability in the brain .",microbial metabolites,microbial metabolites,drug,treatment_for,behavioral abnormalities,behavioral abnormalities,disease
75,"Indeed , treatment of an ASD mouse model with candidate microbial metabolites improves behavioral abnormalities and modulates neuronal excitability in the brain .",microbial metabolites,microbial metabolites,drug,associated_with,neuronal excitability,neuronal excitability,physiology
75,"Indeed , treatment of an ASD mouse model with candidate microbial metabolites improves behavioral abnormalities and modulates neuronal excitability in the brain .",behavioral abnormalities,behavioral abnormalities,disease,associated_with,neuronal excitability,neuronal excitability,physiology
75,"Indeed , treatment of an ASD mouse model with candidate microbial metabolites improves behavioral abnormalities and modulates neuronal excitability in the brain .",neuronal excitability,neuronal excitability,physiology,located_in,brain,brain,region
76,"We propose that the gut microbiota regulates behaviors in mice via production of neuroactive metabolites , suggesting that gut-brain connections contribute to the pathophysiology of ASD .",gut microbiota,gut microbiota,Health_factors,associated_with,neuroactive metabolites,neuroactive metabolites,drug
76,"We propose that the gut microbiota regulates behaviors in mice via production of neuroactive metabolites , suggesting that gut-brain connections contribute to the pathophysiology of ASD .",gut-brain connections,gut-brain connections,region,associated_with,ASD,asd,disease
77,A number of lines of evidence obtained from human and from animal models research clearly demonstrate relationships between depression and circadian rhythms including ( 1 ) daily patterns of depression ; ( 2 ) seasonal affective disorder ; ( 3 ) connections between circadian clock genes and depression ; ( 4 ) relationship between sleep disorders and depression ; ( 5 ) the antidepressant effect of sleep deprivation ; ( 6 ) the antidepressant effect of bright light exposure ; and ( 7 ) the effects of antidepressant drugs on sleep and circadian rhythms .,depression,depression,disease,associated_with,circadian rhythms,circadian rhythms,physiology
77,A number of lines of evidence obtained from human and from animal models research clearly demonstrate relationships between depression and circadian rhythms including ( 1 ) daily patterns of depression ; ( 2 ) seasonal affective disorder ; ( 3 ) connections between circadian clock genes and depression ; ( 4 ) relationship between sleep disorders and depression ; ( 5 ) the antidepressant effect of sleep deprivation ; ( 6 ) the antidepressant effect of bright light exposure ; and ( 7 ) the effects of antidepressant drugs on sleep and circadian rhythms .,circadian clock genes,circadian clock genes,gene,associated_with,depression,depression,disease
77,A number of lines of evidence obtained from human and from animal models research clearly demonstrate relationships between depression and circadian rhythms including ( 1 ) daily patterns of depression ; ( 2 ) seasonal affective disorder ; ( 3 ) connections between circadian clock genes and depression ; ( 4 ) relationship between sleep disorders and depression ; ( 5 ) the antidepressant effect of sleep deprivation ; ( 6 ) the antidepressant effect of bright light exposure ; and ( 7 ) the effects of antidepressant drugs on sleep and circadian rhythms .,sleep disorders,sleep disorders,disease,associated_with,depression,depression,disease
77,A number of lines of evidence obtained from human and from animal models research clearly demonstrate relationships between depression and circadian rhythms including ( 1 ) daily patterns of depression ; ( 2 ) seasonal affective disorder ; ( 3 ) connections between circadian clock genes and depression ; ( 4 ) relationship between sleep disorders and depression ; ( 5 ) the antidepressant effect of sleep deprivation ; ( 6 ) the antidepressant effect of bright light exposure ; and ( 7 ) the effects of antidepressant drugs on sleep and circadian rhythms .,antidepressant drugs,antidepressant drugs,drug,associated_with,sleep,sleep,Health_factors
77,A number of lines of evidence obtained from human and from animal models research clearly demonstrate relationships between depression and circadian rhythms including ( 1 ) daily patterns of depression ; ( 2 ) seasonal affective disorder ; ( 3 ) connections between circadian clock genes and depression ; ( 4 ) relationship between sleep disorders and depression ; ( 5 ) the antidepressant effect of sleep deprivation ; ( 6 ) the antidepressant effect of bright light exposure ; and ( 7 ) the effects of antidepressant drugs on sleep and circadian rhythms .,antidepressant drugs,antidepressant drugs,drug,associated_with,circadian rhythms,circadian rhythms,physiology
78,Anxiety and drug taste as predictors of anticipatory nausea in cancer chemotherapy .,Anxiety,anxiety,disease,associated_with,anticipatory nausea,anticipatory nausea,disease
78,Anxiety and drug taste as predictors of anticipatory nausea in cancer chemotherapy .,drug taste,drug taste,Health_factors,associated_with,anticipatory nausea,anticipatory nausea,disease
78,Anxiety and drug taste as predictors of anticipatory nausea in cancer chemotherapy .,anticipatory nausea,anticipatory nausea,disease,occurs_in,cancer chemotherapy,cancer chemotherapy,method
80,"Posttreatment nausea and vomiting ( particularly vomiting ) , tastes of drugs during injections , and anxiety before injections were all associated with an increased probability of anticipatory nausea .",Posttreatment nausea,posttreatment nausea,disease,risk_factor_of,anticipatory nausea,anticipatory nausea,disease
80,"Posttreatment nausea and vomiting ( particularly vomiting ) , tastes of drugs during injections , and anxiety before injections were all associated with an increased probability of anticipatory nausea .",vomiting,vomiting,disease,risk_factor_of,anticipatory nausea,anticipatory nausea,disease
80,"Posttreatment nausea and vomiting ( particularly vomiting ) , tastes of drugs during injections , and anxiety before injections were all associated with an increased probability of anticipatory nausea .",vomiting,vomiting,disease,risk_factor_of,anticipatory nausea,anticipatory nausea,disease
80,"Posttreatment nausea and vomiting ( particularly vomiting ) , tastes of drugs during injections , and anxiety before injections were all associated with an increased probability of anticipatory nausea .",tastes of drugs,tastes of drugs,Health_factors,risk_factor_of,anticipatory nausea,anticipatory nausea,disease
80,"Posttreatment nausea and vomiting ( particularly vomiting ) , tastes of drugs during injections , and anxiety before injections were all associated with an increased probability of anticipatory nausea .",anxiety,anxiety,disease,risk_factor_of,anticipatory nausea,anticipatory nausea,disease
83,"In major depressive disorder ( MDD ) , processing of facial affect is thought to reflect a perceptual bias ( toward negative emotion , away from positive emotion , and interpretation of neutral as emotional ) .",MDD,mdd,disease,abbreviation_for,major depressive disorder,major depressive disorder,disease
85,The present report examined 48 medication naive MDD patients and 41 healthy controls ( HCs ) performing a facial affect judgment task while magnetoencephalography was recorded .,HCs,hcs,method,abbreviation_for,healthy controls,healthy controls,method
86,MDD patients were characterized by overall slower response times and lower perceptual judgment accuracies .,slower response times,slower response times,symptom,characteristic_of,MDD,mdd,disease
87,"In comparison with HC , MDD patients exhibited less somatosensory beta activity ( 20-30 Hz ) suppression , more visual gamma activity ( 40-80 Hz ) modulation and somatosensory beta and visual gamma interaction deficit .",less somatosensory beta activity,less somatosensory beta activity,physiology,characteristic_of,MDD,mdd,disease
87,"In comparison with HC , MDD patients exhibited less somatosensory beta activity ( 20-30 Hz ) suppression , more visual gamma activity ( 40-80 Hz ) modulation and somatosensory beta and visual gamma interaction deficit .",somatosensory beta activity,somatosensory beta activity,physiology,characteristic_of,MDD,mdd,disease
88,"Moreover , frontal gamma activity during positive facial expression judgment was found to be negatively correlated with depression severity .",frontal gamma activity,frontal gamma activity,physiology,associated_with,depression severity,depression severity,signs
89,"Present findings suggest that perceptual bias in MDD is associated with distinct spatio-spectral manifestations on the neural level , which potentially establishes aberrant pathways during facial emotion processing and contributes to MDD pathology .",MDD,mdd,disease,associated_with,spatio-spectral manifestations,spatio-spectral manifestations,symptom
90,"CONCLUSION : FNS treatment alleviates depressive-like behaviors and rCBF in PSD rats model , which could be attributed to its ability to protect cerebellar Purkinje cells and decrease the mRNA level of inflammatory cytokines .",FNS treatment,fns treatment,method,treatment_for,rCBF,rcbf,physiology
90,"CONCLUSION : FNS treatment alleviates depressive-like behaviors and rCBF in PSD rats model , which could be attributed to its ability to protect cerebellar Purkinje cells and decrease the mRNA level of inflammatory cytokines .",FNS treatment,fns treatment,method,treatment_for,depressive-like behaviors,depressive-like behaviors,disease
90,"CONCLUSION : FNS treatment alleviates depressive-like behaviors and rCBF in PSD rats model , which could be attributed to its ability to protect cerebellar Purkinje cells and decrease the mRNA level of inflammatory cytokines .",depressive-like behaviors,depressive-like behaviors,disease,occurs_in,PSD rats model,psd rats model,method
90,"CONCLUSION : FNS treatment alleviates depressive-like behaviors and rCBF in PSD rats model , which could be attributed to its ability to protect cerebellar Purkinje cells and decrease the mRNA level of inflammatory cytokines .",rCBF,rcbf,physiology,occurs_in,PSD rats model,psd rats model,method
91,"OBJECTIVE : This randomized controlled trial ( RCT ) tests the effectiveness of the video-based transdiagnostic intervention FitMindKit in reducing depression symptoms ( primary outcome ) , anxiety symptoms , disability , and suicidal ideation , relative to an attention-matched control condition called HealthWatch .",RCT,rct,method,abbreviation_for,randomized controlled trial,randomized controlled trial,method
91,"OBJECTIVE : This randomized controlled trial ( RCT ) tests the effectiveness of the video-based transdiagnostic intervention FitMindKit in reducing depression symptoms ( primary outcome ) , anxiety symptoms , disability , and suicidal ideation , relative to an attention-matched control condition called HealthWatch .",HealthWatch,healthwatch,Health_factors,hyponym_of,attention-matched control condition,attention-matched control condition,method
